Car Number,Number of stores closed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D1,0,(00471) Соёолж төв(DASHNYAM.G),(00472) Стар(DASHNYAM.G),(00473) Перл(DASHNYAM.G),(00538) Мөрөн(DASHNYAM.G),(00572) Мөрөн зах(DASHNYAM.G),,,,,,,,,,
D2,0,(00411) Мандалговь(ENKHEE.B),(00415) Даланзадгад(KHULAN.GO),(00420) Гандирс худалдааны төв (KHULAN.GO),(00429) Цогтцэций(KHULAN.GO),(00430) Ханбогд(KHULAN.GO),(00446) Даланзадгад Оюут(KHULAN.GO),(00447) Даланзадгад Их уул(KHULAN.GO),(00475) Мандалговь 2(ENKHEE.B),(00531) Мандалговь Өндөр Ээж(ENKHEE.B),,,,,,
D3,0,(00348) Чойр(AMGALANBAYAR.B),(00381) Замын-Үүд(KHONGORZUL.A),(00407) Замын-Үүд 2 (KHONGORZUL.A),(00413) F Сайншанд Сувдан өргөө(KHONGORZUL.A),(00474) F Сайншанд Хос Өргөө (KHONGORZUL.A),(00484) F Чойр - Дрийм Өүсис(AMGALANBAYAR.B),(00511) Замын-Үүд 3(KHONGORZUL.A),(00512) Баян сум(KHONGORZUL.A),(00533) Сайншанд Сакура(KHONGORZUL.A),(00541) Сайншанд 4(KHONGORZUL.A),(00547) Бор-Өндөр(AMGALANBAYAR.B),(00549) Бор өндөр Дрийм(AMGALANBAYAR.B),(00570) Сүмбэр сум(AMGALANBAYAR.B),,
D4,0,(00322) Багануурын зам(NOMIN.T),(00330) Багануур(NOMIN.T),(00353) Модун(USUKHBAYAR.B),(00386) Цэнхэрмандал(USUKHBAYAR.B),(00432) Төгөлдөр Хэнтий(USUKHBAYAR.B),(00464) Багануур Хархорин плаза(NOMIN.T),(00501) Чойбалсан зочид буудал(MUNKHSULD.M),(00502) Хэрлэн зочид буудал(MUNKHSULD.M),(00523) Дорнод МУИС(MUNKHSULD.M),(00524) Найрамдал парк(MUNKHSULD.M),(00554) Хөлөнбуйр(MUNKHSULD.M),(00562) Эрдэнэ сум(TSOLMONGEREL.KH),,,
D5,0,(00458) Хангарьд зочид буудал (USUKHBAYAR.B),(00465) Хулан төв(USUKHBAYAR.B),(00536) Зүүн бүсийн худалдааны төв(BILGUUN.M),(00537) Баруун-Урт Хийморь(BILGUUN.M),(00573) Шарга кино театр(BILGUUN.M),,,,,,,,,,
D6,0,(00289) Баянчандмань(KHOSBAYAR.U),(00336) Баруунхараа(ARIUNZUL.E),(00366) Зүүнхараа сити центр(ARIUNZUL.E),(00382) Баянчандмань 2(KHOSBAYAR.U),(00425) Хөтөл(ULSBOLD.P),(00469) Элгэмсэг төв(ARIUNZUL.E),(00478) Хонгор(ULSBOLD.P),(00485) Хөтөл-2(ULSBOLD.P),,,,,,,
D7,0,(00344) Лүн сум(SUKHBAT.B),(00433) Арвайхээр Сакура(DAGIIJANCHIV.E),(00434) Арвайхээр (DAGIIJANCHIV.E),(00487) Жинчин(DAGIIJANCHIV.E),(00496) Лүн 2(SUKHBAT.B),(00568) Эрдэнэсант сум(SUKHBAT.B),,,,,,,,,
D8,0,(00309) Эрдэнэт үйлчилгээний төв(ERDENE.J),(00311) Төгөл их дэлгүүр(ERDENE.J),(00319) Эрдэнэт-Булганы зам(ERDENE.J),(00326) Баян худалдааны төв(ERDENE.J),(00340) Сонор хайрхан төв(ERDENE.J),(00363) Молор-Эрдэнэ (ERDENE.J),(00442) Булган 2(ERDENE.J),(00448) Эрдэнэт Хорооллын эцэс(ERDENE.J),(00456) Эрхэт 888(ERDENE.J),(00476) Баруунбүрэн(ULSBOLD.P),(00514) Эрдэнэт-Булганы зам 2(ERDENE.J),(00515) Булганы зам(ERDENE.J),(00579) Альфа Арена(ERDENE.J),,
D9,0,(00280) Дархан үйлчилгээний төв(ULSBOLD.P),(00294) Твин Парк хотхон(ULSBOLD.P),(00303) F Аму молл(ULSBOLD.P),(00335) Цуурай Цо(ULSBOLD.P),(00400) Хөх Чулуут(ARIUNZUL.E),(00416) Номин Зочид буудал(ARIUNZUL.E),(00455) Сүхбаатар-Алтанбулагийн зам(ARIUNZUL.E),(00467) Д.Оюунболдын гудамж(ARIUNZUL.E),(00468) Алтанбулаг(ARIUNZUL.E),(00477) Хуучин Дархан(ULSBOLD.P),(00488) Партизан талбай(ARIUNZUL.E),(00497) Дархан плаза(ULSBOLD.P),,,
D10,0,(00491) Амар худалдааны төв(DAGIIJANCHIV.E),(00492) Элбэг (DAGIIJANCHIV.E),(00493) Буянт богд(DAGIIJANCHIV.E),(00495) Баянхонгор их дэлгүүр(DAGIIJANCHIV.E),(00569) Рашаант сум(SUKHBAT.B),,,,,,,,,,
D11,0,(00343) Хар хорин сум(NYAMNOROV.B),(00405) Хотонт(NYAMNOROV.B),(00443) Орхон төв(NYAMNOROV.B),(00459) Цахиур зочид буудал(NYAMNOROV.B),(00466) Дөрвөн ундрага төв(NYAMNOROV.B),(00483) Мандала зочид буудал(NYAMNOROV.B),(00486) Авто тээврийн төв(NYAMNOROV.B),(00534) Баянхангай(SUKHBAT.B),(00551) Хужирт сум (NYAMNOROV.B),(00561) Хархорин Өв төв(NYAMNOROV.B),(00575) Хархорин Боломж(NYAMNOROV.B),,,,
D12,0,(00087) NUBIA 1(SARANTUYA.D),(00088) NUBIA 2(SARANTUYA.D),(00532) Зуунмод 1000айл(SARANTUYA.D),(00315) F Зуунмод(SARANTUYA.D),(00503) Түргэний ам(SARANTUYA.D),(00372) Өлзийт хороолол(SARANTUYA.D),(00325) Өлзийтийн зам 2(SARANTUYA.D),(00131) Өлзийтийн зам(SARANTUYA.D),(00071) Шинэ Яармаг(AMGALANBAYAR.B),(00288) Буянт Ухаа тауэр(AMGALANBAYAR.B),(00588) Фемида салбар(BAYARSAIKHAN.E),,,,
